organisationid,address1,address2,adress3,city,county,postcode,latitude,longitude
43299,1 Woodside Crescent,Off Downing Close,Knowle,Solihull,,B93 0QA,52.37980270385742,-1.744747996
43300,,210 Reservoir Road,Erdington,Birmingham,West Midlands,B23 6DJ,52.52388381958008,-1.857314825
43302,,32 Grove Avenue,Moseley,Birmingham,,B13 9RY,52.44133377075195,-1.883678913
43304,,29 Old Warwick Road,Olton,Solihull,West Midlands,B92 7JQ,52.43833923339844,-1.808046699
43306,Hollymoor Way,Northfield,,Birmingham,,B31 5HE,52.40392684936523,-1.993620872
43319,,Lodge Road,Winson Green,Birmingham,West Midlands,B18 5SD,52.49386215209961,-1.932395816
43322,Birmingham Great Park,Bristol Road South,Rednal,Birmingham,West Midlands,B45 9BE,52.40018844604492,-2.008318901
43323,,220 Reservoir Road,Erdington,Birmingham,West Midlands,B23 6DJ,52.52388381958008,-1.857314825
43327,1 Woodside Crescent,Off Downing Close,Knowle,Solihull,,B93 0QA,52.37980270385742,-1.744747996
43332,,100 Showell Green Lane,,Birmingham,West Midlands,B11 4HL,52.44896697998047,-1.86745894
43333,,25 Vincent Drive,,Birmingham,,B15 2FG,52.44923400878906,-1.942314267
43334,,6 Mindelsohn Crescent,Edgbaston,Birmingham,West Midlands,B15 2SY,52.44791793823242,-1.940764308
43335,,"Moseley Hall Hospital site, Alcester Road",Moseley,Birmingham,,B13 8JL,52.44592666625977,-1.892876983
43337,Bury New Road,Prestwich,,Manchester,Greater Manchester,M25 3BL,53.53675079345703,-2.291450739
43348,,Mytton Oak Road,,Shrewsbury,Shropshire,SY3 8XQ,52.70926284790039,-2.793676376
43349,Apley Castle,Grainger Drive,,Telford,Shropshire,TF1 6TF,52.71211242675781,-2.511476278
43381,Farnham Road,,,Guildford,Surrey,GU2 7LX,51.23509216308594,-0.584450543
43566,,Littlebourne Road,,Canterbury,Kent,CT1 1TD,51.27685547,1.1061855554580688
43621,Bow Arrow Lane,Stone,,Dartford,Kent,DA2 6PB,51.44635772705078,0.2416354417800903
43627,Hermitage Lane,,,Maidstone,Kent,ME16 9QQ,51.27366256713867,0.4839882254600525
43654,,Unthank Road,,Norwich,,NR2 2PJ,52.62220001220703,1.2636637687683103
43655,,Bowthorpe Road,,Norwich,,NR2 3TU,52.63391876220703,1.2624820470809937
43656,,Northgate,,Dereham,Norfolk,NR19 2EX,52.69001388549805,0.9457185864448548
43657,North Walsham and District War Memorial Hospital,Yarmouth Road,,North Walsham,Norfolk,NR28 9AP,52.81397629,1.387597918510437
43659,,High Kelling,,Holt,Norfolk,NR25 6QA,52.91447448730469,1.1160567998886108
43660,,Sporle Road,,Swaffham,Norfolk,PE37 7HL,52.65101242,0.6922175288200378
43666,,Dorothy Avenue,,Skegness,Lincolnshire,PE25 2BS,53.14517974853516,0.3322723507881165
43667,,Spalding Road,Pinchbeck,Spalding,Lincolnshire,PE11 3DT,52.80146789550781,-0.150874719
43668,,Ropery Road,,Gainsborough,Lincolnshire,DN21 2TJ,53.41184616088867,-0.78477639
43669,,High Holme Road,,Louth,Lincolnshire,LN11 0EU,53.37100982666016,-0.008567074
43674,,330 Bakewell Road,Darley Dale,Matlock,Derbyshire,DE4 2JD,53.15092849731445,-1.575200796
43675,Walton Hospital,Whitecotes Lane,,Chesterfield,Derbyshire,S40 3HW,53.22159194946289,-1.442568302
43676,Babington Hospital,Derby Road,Belper,Derby,Derbyshire,DE56 1WH,53.01894760131836,-1.485832691
43678,,Sandham Lane,,Ripley,Derbyshire,DE5 3HE,53.04698563,-1.412392139
43679,(Head Office),Baslow Road,,Bakewell,Derbyshire,DE45 1AD,53.21879577636719,-1.672325253
43680,,Market Street,,Chesterfield,Derbyshire,S45 9NZ,53.16793441772461,-1.407211781
43681,,Welbeck Road,Bolsover,Chesterfield,Derbyshire,S44 6DH,53.23152923583984,-1.282501698
43682,,Manchester Road,,Buxton,Derbyshire,SK17 6TE,53.26244735717773,-1.92124033
43683,,Heanor Road,,Ilkeston,Derbyshire,DE7 8LN,52.98809432983398,-1.320802927
43750,,St Michael's Road,,Warwick,Warwickshire,CV34 5QW,52.288841247558594,-1.594397306
43764,Coleshill Road,Marston Green,,Birmingham,West Midlands,B37 7HL,52.47120285,-1.744087577
43800,Praed Street,,,London,,W2 1NY,51.51697158813477,-0.173555061
43801,,Fulham Palace Road,,London,,W6 8RF,51.48704528808594,-0.219920978
43802,Du Cane Road,,,London,,W12 0HS,51.51742172,-0.234706819
43803,Du Cane Road,,,London,,W12 0HS,51.51742172,-0.234706819
43804,153-173 Marylebone Road,,,London,,NW1 5QH,51.52070236206055,-0.163315639
43868,Upper Shoreham Road,,,Shoreham-By-Sea,West Sussex,BN43 6TQ,50.84075927734375,-0.256132513
43869,Spitalfield Lane,,,Chichester,West Sussex,PO19 6SE,50.84355545043945,-0.768012762
43870,Lyndhurst Road,,,Worthing,West Sussex,BN11 2DH,50.81669235229492,-0.363415062
43873,,351 Mill Road,,Cambridge,Cambridgeshire,CB1 3DF,52.19712448120117,0.1508167535066604
43886,,5 Mill Pool Way,,Birmingham (SatNav B5 7SA),,B5 7EG,52.45087051391602,-1.914299846
43888,,Alcester Road,,Birmingham,,B13 8JL,52.44592666625977,-1.892876983
43889,West Heath Hospital,Rednal Road,,Birmingham,West Midlands,B38 8HR,52.39820861816406,-1.953763843
43926,Stone Street,,,Faversham,Kent,ME13 8PS,51.31455231,0.8878364562988282
43939,King Edward Avenue,,,Herne Bay,Kent,CT6 6EB,51.36788177490234,1.1428948640823364
43943,Plover Road,Minster On Sea,,Sheerness,Kent,ME12 3LT,51.41540908813477,0.7930755615234375
43944,Bell Road,,,Sittingbourne,Kent,ME10 4DT,51.33459854125977,0.7365569472312926
43952,Victoria Hospital,London Road,,Deal,Kent,CT14 9UA,51.21939086914063,1.3894963264465332
43956,Whitstable and Tankerton Hospital,Northwood Road,Tankerton,Whitstable,Kent,CT5 2HN,51.36136245727539,1.0500668287277222
43962,Royal Victoria Hospital,Radnor Park Avenue,,Folkestone,Kent,CT19 5BN,51.08599472045898,1.171908617019653
43966,Edenbridge and District War Memorial Hospital,Mill Hill,,Edenbridge,Kent,TN8 5DA,51.19034957885742,0.066651665
43967,Hawkhurst Community Hospital,High Street,Hawkhurst,Cranbrook,Kent,TN18 4PU,51.04884338378906,0.4890314340591431
43969,Sevenoaks Hospital,Hospital Road,,Sevenoaks,Kent,TN13 3PG,51.28826522827149,0.1947443038225174
43970,Tonbridge Cottage Hospital,Vauxhall Lane,,Tonbridge,Kent,TN11 0NE,51.17807006835938,0.2734793722629547
43971,Gravesham Community Hospital,Bath Street,,Gravesend,Kent,DA11 0DG,51.44318389892578,0.3656586408615112
44072,Heights Lane,,,Bradford,West Yorkshire,BD9 6DP,53.80973052978516,-1.805339217
44186,Edward Street,Edward Street,,West Bromwich,,B70 8NL,52.51922607421875,-1.998733521
44188,Heath Lane,,,West Bromwich,West Midlands,B71 2BG,52.53797912597656,-1.991980553
44189,Hallam Street,Hallam Street,,West Bromwich,,B71 4NH,52.52781677246094,-1.986425281
45362,,Roehurst Lane,,Winsford,Cheshire,CW7 2DF,53.19564819335938,-2.531690359
45365,,113 The Ropewalk,,Nottingham,,NG1 6HA,52.95198059082031,-1.156332135
45407,,Lanchester Road,,Durham,,DH1 5RD,54.80043029785156,-1.612225533
45473,Ambrose House,"Meteor Court, Barnett Way",Barnwood,Gloucester,Gloucestershire,GL4 3GG,51.86611175537109,-2.204420328
45485,,Barley Lane,Goodmayes,Ilford,Essex,IG3 8XJ,51.57799149,0.1105019301176071
45488,Arundel & District Hospital,Chichester Road,Arundel,Arundel,Sussex,BN18 0AB,50.85447692871094,-0.565244734
45492,,296 Cottingham Road,,Hull,,HU6 8QG,53.77056503295898,-0.376976818
45548,,6 Tree Road,,Brampton,Cumbria,CA8 1TX,54.93866729736328,-2.727175951
45555,,Cross Lane,,Wigton,,CA7 9DD,54.83044434,-3.171386957
45556,,Park Lane,,Workington,,CA14 2RW,54.64269256591797,-3.55132699
45629,,Benfield Road,,Newcastle-upon-Tyne,Tyne and Wear,NE6 4QD,54.98936844,-1.561600447
45964,Caterham Dene Hospital,Church Road,,Caterham,Surrey,CR3 5RA,51.28363037109375,-0.08521425
46506,,York Road,,Henley-on-Thames,Oxfordshire,RG9 2DR,51.53873825073242,-0.9079175
46583,,Cherry Tree Way,Glen Road,London,,E13 8SP,51.52047348022461,0.038419992
46584,Forensic Centre for Mental Health,12 Kenworthy Road,Homerton,London,,E9 5TD,51.54803085327149,-0.037671819
46586,,Shrewsbury Road,East Ham,London,,E7 8QP,51.54092788696289,0.043299749
46607,,41 Barkham Road,,Wokingham,Berkshire,RG41 2XR,51.41040420532226,-0.843685389
46615,,Kew Foot Road,,Richmond,,TW9 2TE,51.46671295166016,-0.300415009
46651,,Swift Drive,Off Cooper Lane,Bradford,West Yorkshire,BD6 3NL,53.76891708374024,-1.810428143
46715,Colchester General Hospital,Turner Road,,Colchester,Essex,CO4 5JL,51.91016387939453,0.8991968035697937
58425,Trafford General Hospital,Moorside Road,Urmston,Manchester,Greater Manchester,M41 5SL,53.454063415527344,-2.370665789
58580,Bessingby Road,,,Bridlington,Yorkshire(East Riding),YO16 4QP,54.08653259277344,-0.215725005
58612,Cygnet Hospital Godden Green,Godden Green,,Sevenoaks,Kent,TN15 0JR,51.27159881591797,0.2300790101289749
58613,Bierley Lane,,,Bradford,West Yorkshire,BD4 6AD,53.76850509643554,-1.732101202
58614,Beach Road,Kewstoke,,Weston-Super-Mare,Avon,BS22 9UZ,51.36587524414063,-2.964218616
58618,937 Harrogate Road,Apperley Bridge,,Bradford,West Yorkshire,BD10 0RD,53.83239746,-1.710361242
58619,10 Alan Turing Road,Surrey Research Park,,Guildford,Surrey,GU2 7YF,51.24115753173828,-0.613246143
58620,One Didsbury Point,2 The Avenue,Didsbury,Manchester,Greater Manchester,M20 2EY,53.43009948730469,-2.249933243
58622,3 Fusion,1200 Parkway,Whiteley,Fareham,Hampshire,PO15 7AD,50.87654113769531,-1.247176766
58803,11-19 Lisson Grove,Marylebone,,London,,NW1 6SH,51.52185440063477,-0.16512911
58911,Cambian Group,Cobridge Road,,Stoke-On-Trent,Staffordshire,ST1 5JY,53.03343963623047,-2.187804699
59010,Higher Port View,,,Saltash,Cornwall,PL12 4BU,50.40737152,-4.214307308
59039,St. Marys Road,,,Beccles,Suffolk,NR34 9NQ,52.45414733886719,1.5623668432235718
59066,Billericay Community Hospital,Blunts Wall Road,,Billericay,Essex,CM12 9SA,51.62248611450195,0.4006631672382355
59350,Church Road,,,Birkenhead,Merseyside,CH42 0LQ,53.38003540039063,-3.026516199
59503,Marybrook Street,,,Berkeley,Gloucestershire,GL13 9AD,51.69200897216797,-2.458486319
59570,Pebble Lane,,,Brackley,Northamptonshire,NN13 7DA,52.03092193603516,-1.143116951
59588,Woodford Avenue,Lowton,,Warrington,Cheshire,WA3 2RB,53.47247695922852,-2.575762749
59646,University Hospital Aintree,Fazakerley Hospital,Lower Lane,Liverpool,Merseyside,L9 7AL,53.46632766723633,-2.931089401
59654,West Hill,,,London,Greater London,SW15 3SW,51.45220565795898,-0.213720351
59676,,Church Lane,,Haslemere,Surrey,GU27 2BJ,51.09174728393554,-0.708267331
59909,William Macleod Way,,,Southampton,Hampshire,SO16 4XE,50.92466735839844,-1.447782755
59938,Alresford Road,,,Winchester,Hampshire,SO21 1HD,51.06240844726562,-1.283552766
59953,Locksway Road,,,Southsea,Hampshire,PO4 8LD,50.79695510864258,-1.050118327
59962,Conde Way,,,Bordon,Hampshire,GU35 0YZ,51.10616683959961,-0.862033367
59970,61A New Lane,,,Havant,Hampshire,PO9 2JJ,50.85652542114258,-0.975570321
60121,Upper Belgrave Road,,,Stoke-On-Trent,Staffordshire,ST3 4QX,52.97793579101562,-2.122318268
60240,Burrswood,Groombridge,,Tunbridge Wells,Kent,TN3 9PY,51.11860275268554,0.1713893860578537
60338,St. Mary's Hospital,Parkhurst Road,,Newport,Isle of Wight,PO30 5TG,50.71084594726562,-1.301315904
60374,,6 High Street,Cranleigh,Surrey,,GU6 8AE,51.14061356,-0.487048179
60502,184 Coombe Lane West,,,Kingston Upon Thames,Surrey,KT2 7EG,51.41569519042969,-0.254274994
60504,Stamford Clinic,Ravenscourt Park,,London,Greater London,W6 0TQ,51.49491500854492,-0.240863413
60526,26 Heaton Road,,,Bradford,West Yorkshire,BD8 8RA,53.80730056762695,-1.776225328
60676,Scarborough Hospital,Woodlands Drive,,Scarborough,North Yorkshire,YO12 6QL,54.28170776367188,-0.43473798
60868,Dodsley Lane,Easebourne,,Midhurst,West Sussex,GU29 9AW,50.99348068237305,-0.735092878
60874,Hurst Road,,,Horsham,West Sussex,RH12 2DR,51.06988906860352,-0.323812664
60940,30 Maiden Castle Road,,,Dorchester,Dorset,DT1 2ER,50.70612716674805,-2.44437933
61033,Grove Road,,,Romford,Essex,RM6 4XH,51.57696151733398,0.1212931275367736
61037,11 Shelley Road,,,Bournemouth,Dorset,BH1 4JQ,50.729270935058594,-1.841459513
61046,Gubbins Lane,,,Romford,Essex,RM3 0PU,51.59137725830078,0.2331472784280777
61047,Pettits Lane,,,Romford,Essex,RM1 4HL,51.58365631103516,0.1872981190681457
61351,,Burnham On Sea War Memorial Hospital,6 Love Lane,Burnham-On-Sea,Somerset,TA8 1ED,51.23880386352539,-2.993861675
61394,Western Road,,,Crediton,Devon,EX17 3NH,50.79237747192383,-3.674112558
61422,Trescobeas Road,,,Falmouth,Cornwall,TR11 2JA,50.15569305419922,-5.086129189
61470,Lutterworth Road,Bramcote,,Nuneaton,Warwickshire,CV11 6QL,52.5,-1.415539622
61506,East Dulwich Grove,,,London,Greater London,SE22 8PT,51.45906829833984,-0.081234887
61530,Royal Hallamshire Hospital,Glossop Rd,,Sheffield,South Yorkshire,S10 2JF,53.37835693359375,-1.493316293
61619,Park Road West,,,Wolverhampton,West Midlands,WV1 4PW,52.58778762817383,-2.14124155
61718,Bute Street,,,Glossop,Derbyshire,SK13 7QP,53.45338439941406,-1.93734777
61862,Plymouth Road,,,Kingsbridge,Devon,TQ7 1AT,50.28871536254882,-3.778812408
61908,Mary Hewetson Cottage Hospital,Crosthwaite Road,,Keswick,Cumbria,CA12 5PH,54.60670471191406,-3.139808655
61913,Victoria Cottage Hospital,Ewanrigg Road,,Maryport,Cumbria,CA15 8EJ,54.70702362060546,-3.495018959
61929,Church Road,,,Alston,Cumbria,CA9 3QX,54.81021118164063,-2.439819574
61939,Mount Ephraim,,,Tunbridge Wells,Kent,TN4 8AT,51.13549805,0.2597514092922211
61946,Chawton Park Road,,,Alton,Hampshire,GU34 1RJ,51.13982009887695,-0.98941201
61968,Churchill Hospital,Old Road,Headington,Oxford,Oxfordshire,OX3 7JU,51.74965668,-1.214199066
61977,Wantage Road,,,Didcot,Oxfordshire,OX11 0AG,51.60442733764648,-1.260112882
61991,Reading Road,,,Wallingford,Oxfordshire,OX10 9DU,51.59467697143554,-1.12827909
61992,Garston Lane,,,Wantage,Oxfordshire,OX12 7AS,51.58955764770508,-1.418544054
62025,49-51 Hatton Park Road,,,Wellingborough,Northamptonshire,NN8 5AH,52.30670166015625,-0.703097463
62043,Rochford Unit,Pilgrim Hospital,Sibsey Road,Boston,Lincolnshire,PE21 9QS,52.99112701416016,-0.009952853
62085,Witham Court,Fen Lane,North Hykeham,Lincoln,Lincolnshire,LN6 8UZ,53.18568801879882,-0.576419652
62089,Maple Lodge,Toot Lane,,Boston,Lincolnshire,PE21 0AX,52.96977996826172,0.001888801
62140,Wood Street,,,Chelmsford,Essex,CM2 9BG,51.71932220458984,0.4594192504882813
62173,Alexandra Road,,,Epsom,Surrey,KT17 4BL,51.33446121,-0.255309433
62380,,High Road,,Buckhurst Hill,Essex,IG9 5HX,51.62451172,0.032027494
62381,53 Parkside,,,London,Greater London,SW19 5NX,51.43576431274414,-0.223569781
62382,17 - 19 View Road,,,London,,N6 4DJ,51.57716751098633,-0.155873492
62396,42-52 Nottingham Place,,,London,Greater London,W1U 5NY,51.52236557006836,-0.152913287
62397,Chelsea Bridge Road,,,London,Greater London,SW1W 8RH,51.48651885986328,-0.150487691
62398,209 Great Portland Street,,,London,Greater London,W1W 5AH,51.52292251586914,-0.144357011
62401,35 Weymouth Street,,,London,Greater London,W1G 8BJ,51.52035903930664,-0.148180172
62493,Turpington Lane,,,Bromley,Kent,BR2 8JA,51.38766479492188,0.042630605
62824,Somerby Drive,Bicton Heath,,Shrewsbury,Shropshire,SY3 8DS,52.71039581298828,-2.797723055
63030,Birch Hill Hospital,Birch Road,,Rochdale,Lancashire,OL12 9QB,53.64026641845703,-2.121371508
63171,South Road,,,Morpeth,Northumberland,NE61 2BT,55.15835571289063,-1.691863894
63219,Oakwood House,Cedar Road,,Faringdon,Oxfordshire,SN7 8DS,51.65654373168945,-1.588295698
63497,Rickmansworth Road,,,Northwood,Middlesex,HA6 2RN,51.61492538452149,-0.445808202
63570,,4 Granville Court,,Hornsea,,HU18 1NQ,53.91744613647461,-0.164347708
63637,Spa Road,,,Melksham,Wiltshire,SN12 7NZ,51.36713409423828,-2.131529331
63638,The Butts,,,Westbury,Wiltshire,BA13 3EL,51.25523376464844,-2.183468819
63729,Chawton Park Road,,,Alton,Hampshire,GU34 1RJ,51.13982009887695,-0.98941201
63764,Ewell Road,,,Surbiton,Surrey,KT6 6EZ,51.39082717895508,-0.299936891
63911,Homerton Row,,,London,Greater London,E9 6SR,51.55063247680664,-0.046084356
64210,226 Seymour Grove,,,Manchester,Greater Manchester,M16 0DU,53.45288848876953,-2.274085522
64322,Huddersfield Road,,,Holmfirth,West Yorkshire,HD9 3TS,53.57872009277344,-1.784410357
64355,Springs Lane,,,Ilkley,West Yorkshire,LS29 8TH,53.923561096191406,-1.816033244
64419,St Mark's Road,Maidenhead,,Berkshire,Berkshire,SL6 6DU,51.52478027,-0.744875669
64420,,Albert Street,,Slough,Berkshire,SL1 2BJ,51.50535965,-0.593743086
65308,Ilkeston Community Hospital,Heanor Road,,Ilkeston,Derbyshire,DE7 8LN,52.98809432983398,-1.320802927
65344,Warton Street,,,Lytham St. Annes,Lancashire,FY8 5EE,53.73848342895508,-2.947314501
65351,O'neill Drive,,,Peterlee,County Durham,SR8 5UQ,54.75407028198242,-1.333023429
65430,Stanhope,,,Bishop Auckland,County Durham,DL13 2JR,54.74801254272461,-2.018548489
65433,Salters Lane,Sedgefield,,Stockton-On-Tees,Cleveland,TS21 3EE,54.661888122558594,-1.448476672
65579,Bradlegh Road,,,Newton-Le-Willows,Merseyside,WA12 8RB,53.44598388671875,-2.635252714
65677,Hospital Road,Little Plumstead,,Norwich,Norfolk,NR13 5EW,52.64649200439453,1.409598469734192
65794,101 Manthorpe Road,,,Grantham,Lincolnshire,NG31 8DG,52.92108917236328,-0.640699148
66507,1-5 Camden Mews,,,London,Greater London,NW1 9DB,51.54411697387695,-0.134697571
66513,85-87 Fordwych Road,,,London,Greater London,NW2 3TL,51.55041504,-0.204597056
66564,Hulton Lane,,,Bolton,Lancashire,BL3 4JD,53.56484985351562,-2.464836121
66639,1-5 Forest Close,Oughtibridge,,Sheffield,South Yorkshire,S35 0JW,53.421119689941406,-1.520314932
66640,1-5 Forest Close,Oughtibridge,,Sheffield,South Yorkshire,S35 0JW,53.421119689941406,-1.520314932
66781,Fentham Road,"355 Slade Road, Erdington",,Birmingham,West Midlands,B23 6AL,52.51944351196289,-1.855177522
67454,St. Wilfrids Terrace,Longridge,,Preston,Lancashire,PR3 3WQ,53.83215713500977,-2.607671499
67601,Stoney Ridge Road,,,Bingley,West Yorkshire,BD16 1UL,53.82212448120117,-1.816872239
67766,Brighton & Sussex Uni Hosp Trust,Princess Royal Hospital,Lewes Road,Haywards Heath,West Sussex,RH16 4EY,50.99139022827149,-0.093034506
67843,Framfield Road,,,Uckfield,East Sussex,TN22 5AW,50.96595383,0.1056270226836204
68511,Stadium Road,,,London,,SE18 4QH,51.47819137573242,0.050057109
68571,Ransom Road,,,Nottingham,Nottinghamshire,NG3 5GS,52.97148132324218,-1.131278157
68578,Queen Elizabeth House,Queen Elizabeth Drive,,Pershore,Worcestershire,WR10 1PS,52.11405563354492,-2.077760696
68584,Heath Road,,,Ipswich,Suffolk,IP4 5PD,52.05684661865234,1.1979291439056396
68591,419 Main Road,,,Harwich,Essex,CO12 4EX,51.93343353271485,1.2606685161590576
68751,,Weston Road,Stafford,Staffordshire,,ST16 3SA,52.81129455566406,-2.097770452
68956,,London Road,,Buxton,Derbyshire,SK17 9NJ,53.24814606,-1.90827322
68957,Ashgate Road,Ashgate,,Chesterfield,Derbyshire,S42 7JE,53.23967361450195,-1.479461789
69072,Cambridge Road,Fulbourn,,Cambridge,Cambridgeshire,CB21 5EE,52.18558120727539,0.2003648728132248
69166,Hundens Lane,,,Darlington,Durham,DL1 1JE,54.52486801147461,-1.537556887
69172,Stanhope,,,Bishop Auckland,County Durham,DL13 2JR,54.74801254272461,-2.018548489
69295,Doncaster Gate,,,Rotherham,South Yorkshire,S65 1DA,53.43000030517578,-1.352416396
